Name,ASCII Name,Population,Coordinates
Solnechnoye,Solnechnoye,1370,"60.15612, 29.94753"
Sloboda,Sloboda,3519,"51.1421, 40.3021"
Slavyansk-na-Kubani,Slavyansk-na-Kubani,65196,"45.2558, 38.1256"
Shimorskoye,Shimorskoye,4147,"55.3281, 42.0256"
Shatsk,Shatsk,7434,"54.02369, 41.71699"
Shangaly,Shangaly,2164,"61.12842, 43.33427"
Selishche,Selishche,1328,"56.88794, 33.26914"
Satis,Satis,3039,"54.9229, 43.22977"
Rybinsk,Rybinsk,216724,"58.04562, 38.83811"
Rudnya,Rudnya,8062,"50.79898, 44.55856"
Razumnoye,Razumnoye,15529,"50.53439, 36.68462"
Pyatigorsk,Pyatigorsk,142865,"44.05, 43.05036"
Pridonskoy,Pridonskoy,16896,"51.6826, 39.0676"
Poshekhon’ye,Poshekhon'ye,6900,"58.49928, 39.13531"
Pizhanka,Pizhanka,3900,"57.46051, 48.54147"
Pitelino,Pitelino,2355,"54.57837, 41.8101"
Petro-Slavyanka,Petro-Slavyanka,1308,"59.80222, 30.50694"
Palkino,Palkino,3112,"57.54089, 28.01257"
Orlovka,Orlovka,3236,"44.69139, 44.17444"
Nuradilovo,Nuradilovo,3371,"43.28447, 46.45763"
Novyy Ropsk,Novyy Ropsk,1293,"52.29678, 32.31226"
Novyye Kuz’minki,Novyye Kuz'minki,143000,"55.7, 37.75"
Novo-Talitsy,Novo-Talitsy,8563,"57.00392, 40.85936"
Novosmolinskiy,Novosmolinskiy,5128,"56.2841, 43.05071"
Novokubansk,Novokubansk,36401,"45.117, 41.0267"
Novodvinsk,Novodvinsk,42900,"64.41638, 40.81674"
Noginsk,Noginsk,115979,"55.86486, 38.44853"
Miskindzha,Miskindzha,3611,"41.42402, 47.84669"
Mirskoy,Mirskoy,3095,"45.5439, 40.3998"
Miatli,Miatli,4424,"43.08173, 46.8286"
Mezhdurechensk,Mezhdurechensk,1855,"63.24556, 48.55333"
Medvezh’i Ozëra,Medvezh'i Ozera,2278,"55.86935, 37.98613"
Maloarkhangel’sk,Maloarkhangel'sk,3962,"52.40002, 36.50267"
Lysyye Gory,Lysyye Gory,7501,"51.55063, 44.84144"
Lopatino,Lopatino,4318,"52.61949, 45.81184"
Kurba,Kurba,1493,"57.56097, 39.4981"
Kugesi,Kugesi,11547,"56.02895, 47.29255"
Krasnyy Profintern,Krasnyy Profintern,1468,"57.74459, 40.43501"
Krasnyy Oktyabr’,Krasnyy Oktyabr',9999,"56.11667, 38.88333"
Krasnoznamensk,Krasnoznamensk,3724,"54.94222, 22.48972"
Krasnoyarskaya,Krasnoyarskaya,5198,"47.6501, 42.0443"
Krasnogorodsk,Krasnogorodsk,4563,"56.83388, 28.29873"
Kozhukhovo,Kozhukhovo,50000,"55.7, 37.66667"
Kovylkino,Kovylkino,21400,"54.03876, 43.91385"
Kovernino,Kovernino,6988,"57.128, 43.81462"
Kostrovo,Kostrovo,2600,"55.89429, 36.69491"
Komsomol’skiy,Komsomol'skiy,2753,"43.97833, 46.69852"
Kommunar,Kommunar,17358,"59.62056, 30.39"
Kinel’-Cherkassy,Kinel'-Cherkassy,18393,"53.4706, 51.47431"
Kantemirovka,Kantemirovka,12770,"49.70887, 39.85922"
Gukovo,Gukovo,66079,"48.06212, 39.9355"
Grebenskaya,Grebenskaya,5066,"43.53086, 46.37174"
Gimry,Gimry,3599,"42.75974, 46.83959"
Erpeli,Erpeli,3619,"42.80584, 46.97732"
Dedovichi,Dedovichi,9606,"57.5516, 29.94684"
Dedenëvo,Dedenevo,6455,"56.24283, 37.51769"
Cheremushskiy,Cheremushskiy,1093,"61.27306, 47.26361"
Borovichi,Borovichi,56571,"58.39418, 33.91864"
Borok,Borok,1800,"58.06532, 38.2362"
Bol’shaya Izhora,Bol'shaya Izhora,3712,"59.93819, 29.56859"
Bogorodskoye,Bogorodskoye,2998,"57.04695, 41.01354"
Blizhne-Pesochnoye,Blizhne-Pesochnoye,3156,"55.3456, 42.1015"
Al’met’yevsk,Al'met'yevsk,140437,"54.90442, 52.3154"
Aleksandrovskoye,Aleksandrovskoye,28006,"44.71417, 43.00083"
Aleksandrov,Aleksandrov,64088,"56.39516, 38.71452"
Aktyubinskiy,Aktyubinskiy,9964,"54.81372, 52.80559"
Gerga,Gerga,3778,"42.34645, 47.96333"
Zarechnyy,Zarechnyy,62139,"53.13333, 46.58333"
Yuzhnyy,Yuzhnyy,3320,"44.72111, 39.87918"
Solnechnoye,Solnechnoye,4024,"43.276, 46.50697"
Pribrezhnyy,Pribrezhnyy,11500,"53.48662, 49.85836"
Petrogradka,Petrogradka,130455,"59.96567, 30.31154"
Valea lui Ion,Valea lui Ion,1452,"46.7035, 26.62499"
Vadu Paşii,Vadu Pasii,9034,"45.16667, 26.9"
Vadu Părului,Vadu Parului,2187,"44.93132, 26.2094"
Ungheni,Ungheni,6449,"46.48333, 24.46667"
Tudor Vladimirescu,Tudor Vladimirescu,5498,"45.56667, 27.65"
Tigveni,Tigveni,3634,"45.13333, 24.58333"
Ţigăneşti,Tiganesti,5397,"43.9, 25.36667"
Teliu,Teliu,3485,"45.69856, 25.8559"
Suseni,Suseni,3492,"44.71667, 24.95"
Suharău,Suharau,5356,"48.13333, 26.41667"
Strunga,Strunga,4508,"47.16667, 26.98333"
Stolnici,Stolnici,3784,"44.56667, 24.78333"
Stâlpu,Stalpu,3175,"45.08333, 26.71667"
Stejaru,Stejaru,2301,"44.76667, 28.55"
Stejaru,Stejaru,2249,"44.18333, 24.88333"
Spermezeu,Spermezeu,2573,"47.3, 24.15"
Şotrile,Sotrile,3530,"45.21667, 25.71667"
Şopotu Nou,Sopotu Nou,1397,"44.81494, 21.8578"
Solonţ,Solont,3866,"46.55, 26.51667"
Sohatu,Sohatu,3511,"44.31667, 26.5"
Smârdan,Smardan,1540,"43.93382, 22.96592"
Slobozia-Câmpineanca,Slobozia-Campineanca,3158,"45.7, 27.13333"
Slobozia,Slobozia,1774,"46.47495, 27.31111"
Şirna,Sirna,5331,"44.8, 25.95"
Sânnicolau Român,Sannicolau Roman,1218,"46.96101, 21.71466"
Sinești,Sinesti,1009,"44.46777, 24.66585"
Simoneşti,Simonesti,3685,"46.33333, 25.1"
Siliştea,Silistea,1442,"44.4, 28.16667"
Şeica Mică,Seica Mica,1709,"46.05, 24.13333"
Şeíca Mare,Seica Mare,4739,"46.01667, 24.15"
Seaca,Seaca,2302,"44.16667, 24.75"
Satu Mare,Satu Mare,2017,"46.34082, 25.38378"
Săsciori,Sasciori,5822,"45.86667, 23.58333"
Sarichioi,Sarichioi,7483,"44.95, 28.85"
Sărăuad,Sarauad,1086,"47.47944, 22.62559"
Saligny,Saligny,730,"44.28111, 28.09092"
Șaeș,Saes,1112,"46.15638, 24.76894"
Săcălaz,Sacalaz,6176,"45.75833, 21.11222"
Săcădat,Sacadat,1882,"47.03333, 22.15"
Ruşeţu,Rusetu,4254,"44.95, 27.21667"
Râmnicelu,Ramnicelu,2286,"45.28333, 27.53333"
Rebricea,Rebricea,3605,"46.86667, 27.55"
Răsmireşti,Rasmiresti,1163,"43.98333, 25.55"
Racoviţa,Racovita,1395,"45.3, 27.45"
Pucheni,Pucheni,2201,"45.18333, 25.28333"
Prigoria,Prigoria,3481,"45.06667, 23.68333"
Pomezeu,Pomezeu,3310,"46.78333, 22.28333"
Poienarii Burchii,Poienarii Burchii,1269,"44.75, 26.01667"
Pianu de Sus,Pianu de Sus,3308,"45.9, 23.48333"
Pietriceaua,Pietriceaua,1395,"45.2191, 25.80859"
Perișor,Perisor,1743,"44.14331, 23.47509"
Otetelișu,Otetelisu,1197,"44.63839, 23.95917"
Orţişoara,Ortisoara,4042,"45.96361, 21.19833"
Ormeniş,Ormenis,3325,"46.01667, 25.55"
Orăştioara de Sus,Orastioara de Sus,2428,"45.73333, 23.16667"
Olteni,Olteni,1022,"44.39307, 25.95021"
Ocna Sibiului,Ocna Sibiului,4021,"45.88333, 24.05"
Oar,Oar,1512,"47.80569, 22.73085"
Negreni,Negreni,1855,"46.95378, 22.76347"
Negoi,Negoi,2351,"43.91396, 23.37288"
Naidăș,Naidas,998,"44.88108, 21.59061"
Murgași,Murgasi,659,"44.49968, 23.86698"
Moţca,Motca,5095,"47.25, 26.61667"
Morunglav,Morunglav,2958,"44.46667, 24.11667"
Moacşa,Moacsa,2274,"45.86667, 25.96667"
Mândruloc,Mandruloc,1106,"46.14863, 21.4657"
Magula,Magula,2122,"44.93185, 26.30114"
Măerişte,Maeriste,3436,"47.31667, 22.8"
Lupeni,Lupeni,4370,"46.38333, 25.21667"
Lungani,Lungani,5065,"47.18333, 27.15"
Lunga,Lunga,1608,"46.01822, 26.21208"
Lipova,Lipova,2916,"46.71667, 27.23333"
Jiblea Veche,Jiblea Veche,2171,"45.2436, 24.35163"
Izvoru Berheciului,Izvoru Berheciului,1697,"46.58333, 27.21667"
Intregalde,Intregalde,860,"46.25, 23.41667"
Igoiu,Igoiu,1118,"45.04824, 23.80835"
Herăști,Herasti,2129,"44.21174, 26.35903"
Hărțăgani,Hartagani,1101,"46.05012, 22.92183"
Gura Putnei,Gura Putnei,1236,"47.89951, 25.5951"
Greceşti,Grecesti,2014,"44.45, 23.28333"
Grebenişu de Câmpie,Grebenisu de Campie,1613,"46.6, 24.3"
Gârbovi,Garbovi,4408,"44.78333, 26.76667"
Ghimpați,Ghimpati,1023,"44.15359, 24.42698"
Gioseni,Gioseni,3243,"46.42925, 26.99239"
Gelu,Gelu,1483,"46.00591, 21.06002"
Găujani,Gaujani,2763,"43.73333, 25.7"
Floroaia,Floroaia,1148,"45.69497, 26.01563"
Flămânzi,Flamanzi,0,"47.55, 26.86667"
Fântânele,Fantanele,1853,"47.41498, 27.18066"
Filipeştii de Târg,Filipestii de Targ,7794,"44.98333, 25.78333"
Făurei,Faurei,2344,"46.91667, 26.68333"
Eforie Sud,Eforie Sud,9498,"44.02294, 28.64943"
Drăgoiești,Dragoiesti,1603,"47.55, 26.08333"
Dragalina,Dragalina,8642,"44.43333, 27.31667"
Dodești,Dodesti,1572,"46.35455, 27.89311"
Dârvari,Darvari,1670,"44.42108, 25.87989"
Deleni,Deleni,2627,"46.55, 27.75"
Curtişoara,Curtisoara,4583,"44.5, 24.33333"
Crucea,Crucea,1333,"47.16567, 27.17093"
Cristolţ,Cristolt,1516,"47.2, 23.43333"
Crăiești,Craiesti,774,"46.75771, 24.42499"
Coşteiu,Costeiu,3805,"45.74111, 21.84917"
Coşereni,Cosereni,6957,"44.68333, 26.56667"
Cornu de Jos,Cornu de Jos,3410,"45.15665, 25.70452"
Cormaia,Cormaia,10254,"47.36667, 24.68333"
Comarnic,Comarnic,13254,"45.25, 25.63333"
Colibaşi,Colibasi,3823,"44.20222, 26.19472"
Cocorăștii Colț,Cocorastii Colt,611,"44.83425, 25.89937"
Ciurea,Ciurea,10110,"47.05, 27.56667"
Chiraftei,Chiraftei,2491,"45.7722, 28.02716"
Chendrea,Chendrea,1001,"47.12236, 23.29904"
Cernica,Cernica,9530,"44.41667, 26.28333"
Cernele,Cernele,2788,"44.33363, 23.7414"
Caraula,Caraula,2628,"44.18333, 23.25"
Căianu Mic,Caianu Mic,5340,"47.23333, 24.15"
Burzuc,Burzuc,1166,"47.15552, 22.17096"
Buneşti,Bunesti,3070,"46.83333, 27.96667"
Bulzeşti,Bulzesti,1944,"44.53333, 23.88333"
Bucșenești-Lotași,Bucsenesti-Lotasi,1077,"45.01307, 24.96845"
Bucium,Bucium,1747,"46.23333, 23.21667"
Breţcu,Bretcu,3866,"46.05, 26.3"
Breaza,Breaza,17949,"45.18333, 25.66667"
Brabeți,Brabeti,1389,"43.96098, 24.01339"
Boureni,Boureni,1390,"47.21314, 26.63092"
Bodeşti,Bodesti,5122,"47.03333, 26.41667"
Bistra Mureșului,Bistra Muresului,1079,"46.96093, 24.90608"
Bârghiş,Barghis,0,"45.98333, 24.53333"
Bârca,Barca,4403,"43.96667, 23.61667"
Bilca,Bilca,3460,"47.91667, 25.75"
Beceni,Beceni,4992,"45.38333, 26.78333"
Bănești,Banesti,1154,"47.58946, 26.52335"
Baloteşti,Balotesti,6795,"44.61667, 26.11667"
Bălăşeşti,Balasesti,2534,"46.1, 27.66667"
Bălănești,Balanesti,1588,"44.2497, 24.48216"
Arieşeni,Arieseni,1876,"46.47641, 22.75741"
Arefu,Arefu,1300,"45.33333, 24.6"
Amărăşti,Amarasti,2109,"44.76667, 24.15"
Alțâna,Altana,1094,"45.93333, 24.46667"
Aiton,Aiton,1331,"46.68333, 23.73333"
Adjudu Vechi,Adjudu Vechi,1508,"46.13485, 27.18891"
Acâş,Acas,0,"47.53333, 22.78333"
Vințu de Jos,Vintu de Jos,3113,"45.99462, 23.48612"
Vojka,Vojka,4343,"44.93713, 20.15236"
Stari Banovci,Stari Banovci,3393,"44.9842, 20.28382"
Srpski Itebej,Srpski Itebej,3281,"45.56715, 20.7135"
Pirot,Pirot,40678,"43.15306, 22.58611"
Neuzina,Neuzina,1657,"45.3446, 20.71418"
Krajišnik,Krajisnik,2495,"45.45283, 20.72976"
Iđoš,Idos,2338,"45.82648, 20.31791"
Ðurđevo,Durdevo,4668,"45.32591, 20.06532"
Hortlax,Hortlax,1128,"65.28188, 21.40544"
Vetlanda,Vetlanda,13430,"57.42887, 15.07762"
Veddige,Veddige,2260,"57.26591, 12.3322"
Stehag,Stehag,1191,"55.90188, 13.39577"
Romme,Romme,1735,"60.43333, 15.5"
Påarp,Paarp,2932,"56.03333, 12.81667"
Öregrund,OEregrund,1589,"60.33333, 18.43333"
Mullsjö,Mullsjoe,5584,"57.9171, 13.87831"
Oleksandrivka,Oleksandrivka,3660,"46.61147, 30.86444"
Tavriysk,Tavriysk,10108,"46.75432, 33.41665"
Rohrenfels,Rohrenfels,1489,"48.68654, 11.15619"
Roding,Roding,11406,"49.19426, 12.51956"
Ringsheim,Ringsheim,2112,"48.24765, 7.77823"
Rimpar,Rimpar,7718,"49.85692, 9.95705"
Rietberg,Rietberg,28672,"51.80924, 8.42841"
Riepsdorf,Riepsdorf,1054,"54.22611, 10.97242"
Reisbach,Reisbach,7610,"48.57008, 12.62799"
Reil,Reil,1126,"50.01667, 7.11667"
Rechtenbach,Rechtenbach,1046,"49.98306, 9.50833"
Rangsdorf,Rangsdorf,9134,"52.29126, 13.41946"
Puschendorf,Puschendorf,2274,"49.52398, 10.83192"
Preetz,Preetz,1021,"54.35017, 12.98936"
Potsdam,Potsdam,182112,"52.39886, 13.06566"
Pluwig,Pluwig,1237,"49.68976, 6.71239"
Plön,Ploen,13068,"54.16241, 10.42333"
Plate,Plate,3686,"53.55145, 11.50927"
Petershagen,Petershagen,12931,"52.52078, 13.78748"
Pankow,Pankow,65375,"52.56926, 13.40186"
Ostritz,Ostritz,2988,"51.01451, 14.93059"
Oßling,Ossling,2622,"51.35999, 14.16567"
Oerel,Oerel,1854,"53.48333, 9.05"
Ohlsbach,Ohlsbach,3176,"48.43222, 7.99384"
Obing,Obing,3938,"48.00049, 12.40528"
Oberursel,Oberursel,46678,"50.20731, 8.57747"
Oberreichenbach,Oberreichenbach,2922,"48.73333, 8.66667"
Oberpframmern,Oberpframmern,2188,"48.02202, 11.81331"
Obermoschel,Obermoschel,1183,"49.72797, 7.77266"
Obermehler,Obermehler,1049,"51.26996, 10.59754"
Nottuln,Nottuln,20427,"51.93333, 7.35"
Nordhausen,Nordhausen,43912,"51.5018, 10.7957"
Norderney,Norderney,5949,"53.70828, 7.15819"
Niemberg,Niemberg,1492,"51.55035, 12.09089"
Niederschöneweide,Niederschoeneweide,13004,"52.45564, 13.51554"
Niederbiel,Niederbiel,2246,"50.55505, 8.39845"
Neustadt bei Coburg,Neustadt bei Coburg,16715,"50.32975, 11.12058"
Neustadt,Neustadt,12689,"53.55196, 9.98558"
Neusitz,Neusitz,1990,"49.37185, 10.22559"
Neukirchen-Balbini,Neukirchen-Balbini,1162,"49.29101, 12.43643"
Neukirch/Lausitz,Neukirch/Lausitz,5567,"51.09727, 14.30789"
Neuffen,Neuffen,6365,"48.5546, 9.3755"
Neuenstadt am Kocher,Neuenstadt am Kocher,9312,"49.23498, 9.33215"
Neuenburg am Rhein,Neuenburg am Rhein,11682,"47.81431, 7.56005"
Nentershausen,Nentershausen,2048,"50.41667, 7.93333"
Nebra,Nebra,2690,"51.2881, 11.57749"
Naunhof,Naunhof,8753,"51.2777, 12.58827"
Nandlstadt,Nandlstadt,5044,"48.53644, 11.8073"
Mutterstadt,Mutterstadt,12383,"49.44139, 8.35611"
Münster,Munster,1078,"48.22904, 10.63623"
Münchweiler an der Rodalb,Muenchweiler an der Rodalb,3040,"49.21798, 7.70295"
Stuttgart Mühlhausen,Stuttgart Muehlhausen,26111,"48.84232, 9.23028"
Mühldorf,Muehldorf,17622,"48.2467, 12.52155"
Mönchweiler,Moenchweiler,3173,"48.1004, 8.42219"
Möhrendorf,Mohrendorf,4349,"49.63333, 11.0"
Mogendorf,Mogendorf,1204,"50.49444, 7.75972"
Mixdorf,Mixdorf,1035,"52.2, 14.4"
Mittenaar,Mittenaar,5020,"50.7, 8.38333"
Mittelhof,Mittelhof,1130,"50.77517, 7.80466"
Mettendorf,Mettendorf,1119,"49.94784, 6.33003"
Mengersgereuth-Hämmern,Mengersgereuth-Haemmern,2972,"50.3973, 11.11649"
Melchow,Melchow,1069,"52.77613, 13.70647"
Mehrhoog,Mehrhoog,6520,"51.73826, 6.51164"
Markt Schwaben,Markt Schwaben,10857,"48.18949, 11.8691"
Markt Indersdorf,Markt Indersdorf,9263,"48.36058, 11.37789"
Mainzweiler,Mainzweiler,1105,"49.41714, 7.11804"
Mainz,Mainz,217123,"49.98419, 8.2791"
Lustadt,Lustadt,3291,"49.24476, 8.27407"
Lunzenau,Lunzenau,5138,"50.96269, 12.75594"
Lübbecke,Luebbecke,25573,"52.30699, 8.61423"
Lorsch,Lorsch,12744,"49.65, 8.56667"
Loffenau,Loffenau,2695,"48.77214, 8.38463"
Lienen,Lienen,8797,"52.15, 7.98333"
Lichtenrade,Lichtenrade,52110,"52.39844, 13.40637"
Laudenbach,Laudenbach,1399,"49.74583, 9.17611"
Lauchröden,Lauchroeden,1028,"50.99371, 10.15694"
Lamspringe,Lamspringe,3223,"51.96071, 10.01105"
Lambsheim,Lambsheim,6104,"49.51361, 8.28778"
Ladelund,Ladelund,1500,"54.84084, 9.02135"
Kusel,Kusel,5134,"49.53772, 7.40472"
Kumhausen,Kumhausen,4812,"48.50938, 12.15637"
Kronberg,Kronberg,17730,"50.18424, 8.5232"
Königstein,Koenigstein,3011,"50.9157, 14.07186"
Kollmar,Kollmar,1793,"53.72936, 9.4788"
Kleinkahl,Kleinkahl,1849,"50.11667, 9.26667"
Kirchheim,Kirchheim,2563,"48.1749, 10.47461"
Kirchgellersen,Kirchgellersen,2122,"53.23333, 10.3"
Kirchdorf am Inn,Kirchdorf am Inn,5366,"48.24755, 12.98453"
Kippenheim,Kippenheim,5040,"48.29564, 7.8251"
Kindenheim,Kindenheim,1028,"49.61111, 8.16417"
Kienberg,Kienberg,1320,"48.03481, 12.4633"
Kalefeld,Kalefeld,7264,"51.8, 10.03333"
Immenstadt im Allgäu,Immenstadt im Allgau,14431,"47.55996, 10.21394"
Illertissen,Illertissen,16522,"48.22336, 10.10347"
Ilberstedt,Ilberstedt,1207,"51.8, 11.66667"
Ifta,Ifta,1309,"51.06667, 10.18333"
Hülben,Hulben,2854,"48.51982, 9.4079"
Holtsee,Holtsee,1330,"54.4, 9.85"
Höhnstedt,Hoehnstedt,1645,"51.50268, 11.73844"
Hohenwestedt,Hohenwestedt,5092,"54.08886, 9.65359"
Hochdorf,Hochdorf,2069,"48.0256, 9.78778"
Hetzles,Hetzles,1286,"49.63333, 11.13333"
Heretsried,Heretsried,1047,"48.45972, 10.73601"
Herbsleben,Herbsleben,3140,"51.11667, 10.83333"
Hemslingen,Hemslingen,1578,"53.08333, 9.6"
Heimenkirch,Heimenkirch,3723,"47.62959, 9.90304"
Heilbronn,Heilbronn,120733,"49.13995, 9.22054"
Hassendorf,Hassendorf,1156,"53.10859, 9.26482"
Haselhorst,Haselhorst,16471,"52.54409, 13.23743"
Hanstedt Eins,Hanstedt Eins,1004,"53.04642, 10.37444"
Hamminkeln,Hamminkeln,27433,"51.73262, 6.59031"
Hamm (Sieg),Hamm (Sieg),3406,"50.76531, 7.67761"
Hamburg,Hamburg,1845229,"53.55073, 9.99302"
Hambühren,Hambuhren,10259,"52.63333, 9.98333"
Halle,Halle,21448,"52.06007, 8.36083"
Gutenstetten,Gutenstetten,1393,"49.61667, 10.63333"
Gundelsheim,Gundelsheim,3292,"49.93708, 10.9199"
Gudensberg,Gudensberg,9032,"51.17706, 9.36748"
Grünheide,Gruenheide,7599,"52.42343, 13.81324"
Groß Quenstedt,Gross Quenstedt,1064,"51.93333, 11.11667"
Großostheim,Grossostheim,16346,"49.91985, 9.07596"
Groß Nemerow,Gross Nemerow,1355,"53.47342, 13.22482"
Großlittgen,Grosslittgen,1033,"50.02787, 6.79865"
Gröningen,Groeningen,4166,"51.93744, 11.21601"
Grömitz,Gromitz,7847,"54.15, 10.96667"
Grävenwiesbach,Gravenwiesbach,5245,"50.39024, 8.4569"
Grainau,Grainau,3674,"47.47614, 11.02405"
Glowe,Glowe,1015,"54.56911, 13.4655"
Glött,Glott,1135,"48.5, 10.48333"
Gerswalde,Gerswalde,1854,"53.16988, 13.74853"
Geroldsgrün,Geroldsgrun,3189,"50.33333, 11.6"
Gernrode,Gernrode,1680,"51.4, 10.4"
Gablingen,Gablingen,4707,"48.45, 10.81667"
Friedrichsdorf,Friedrichsdorf,24435,"50.24962, 8.64281"
Friedewald,Friedewald,2435,"50.88333, 9.86667"
Franzburg,Franzburg,1754,"54.18501, 12.8821"
Frankenthal,Frankenthal,1071,"51.13129, 14.10893"
Falkenberg,Falkenberg,3956,"48.46154, 12.73049"
Eutingen an der Enz,Eutingen an der Enz,5583,"48.91246, 8.74898"
Eppingen,Eppingen,21179,"49.13645, 8.91229"
Engelthal,Engelthal,1093,"49.47181, 11.39943"
Engelsbrand,Engelsbrand,4361,"48.83333, 8.65"
Empfingen,Empfingen,4123,"48.39258, 8.71036"
Ellwangen,Ellwangen,24477,"48.96164, 10.13173"
Ellgau,Ellgau,1004,"48.6, 10.86667"
Ebersbach,Ebersbach,1161,"51.099, 13.1135"
Dorsten,Dorsten,79981,"51.66166, 6.96514"
Dogern,Dogern,2337,"47.60952, 8.16713"
Dettingen an der Erms,Dettingen an der Erms,9271,"48.53077, 9.34458"
Derenburg,Derenburg,2716,"51.87086, 10.91029"
Deinste,Deinste,2258,"53.52903, 9.44376"
Dankmarshausen,Dankmarshausen,1147,"50.92527, 10.01601"
Callenberg,Callenberg,5763,"50.85, 12.63333"
Burkhardtsdorf,Burkhardtsdorf,7067,"50.73333, 12.91667"
Burgbrohl,Burgbrohl,3332,"50.45463, 7.2772"
Bruck,Bruck,4510,"49.24927, 12.3071"
Breitenfelde,Breitenfelde,1792,"53.60592, 10.63339"
Bondorf,Bondorf,5730,"48.52064, 8.83704"
Bodnegg,Bodnegg,3136,"47.71014, 9.68841"
Böbrach,Bobrach,1622,"48.93322, 12.88304"
Billigheim,Billigheim,5899,"49.34861, 9.25389"
Bickenbach,Bickenbach,5338,"49.75917, 8.6175"
Biberach an der Riß,Biberach an der Riss,32333,"48.09345, 9.79053"
Berthelsdorf,Berthelsdorf,1813,"51.04679, 14.22197"
Bernbeuren,Bernbeuren,2240,"47.73696, 10.77707"
Bergatreute,Bergatreute,3093,"47.85, 9.75"
Bellenberg,Bellenberg,4607,"48.25726, 10.09094"
Bad Sulza,Bad Sulza,3027,"51.08929, 11.62474"
Bad Meinberg,Bad Meinberg,4636,"51.89588, 8.98313"
Bad Hersfeld,Bad Hersfeld,30725,"50.87197, 9.70891"
Bad Feilnbach,Bad Feilnbach,7203,"47.77331, 12.00973"
Augsburg,Augsburg,259196,"48.37154, 10.89851"
Au am Rhein,Au am Rhein,3365,"48.95, 8.23333"
Asbach,Asbach,7060,"50.66667, 7.41667"
Artlenburg,Artlenburg,1640,"53.37182, 10.48793"
Alt Wallmoden,Alt Wallmoden,1095,"52.01933, 10.30294"
Altmittweida,Altmittweida,2132,"50.96667, 12.95"
Alt Meteln,Alt Meteln,1179,"53.74709, 11.34056"
Altendiez,Altendiez,2332,"50.36667, 7.98333"
Altenau,Altenau,2045,"51.80113, 10.44148"
Schönenberg-Kübelberg,Schoenenberg-Kuebelberg,5957,"49.4074, 7.37233"
Kasbach-Ohlenberg,Kasbach-Ohlenberg,1406,"50.58333, 7.26667"
Sankt Katharinen,Sankt Katharinen,3534,"50.58333, 7.38333"
Klein Offenseth-Sparrieshoop,Klein Offenseth-Sparrieshoop,2687,"53.79748, 9.68653"
Leingarten,Leingarten,10579,"49.14639, 9.11694"
Mespelbrunn,Mespelbrunn,2307,"49.91444, 9.29194"
Hoheluft-West,Hoheluft-West,13435,"53.58067, 9.96704"
Altona-Nord,Altona-Nord,25802,"53.56321, 9.94257"
Paradies,Paradies,6097,"47.66581, 9.16386"
Petershausen-West,Petershausen-West,16021,"47.67411, 9.17787"
Altes Hochschulviertel,Altes Hochschulviertel,4444,"52.27358, 10.52747"
Weinberg,Weinberg,8924,"52.25703, 10.47446"
Wilhelmitor - Süd,Wilhelmitor - Sued,8348,"52.25117, 10.51133"
Vodskov,Vodskov,4663,"57.10854, 10.02215"
Vildbjerg,Vildbjerg,3773,"56.2, 8.76667"
Vanløse,Vanlose,37115,"55.68361, 12.48713"
Tune,Tune,5300,"55.59287, 12.16968"
Svenstrup,Svenstrup,7650,"56.60263, 9.94361"
Strib,Strib,4872,"55.54021, 9.76748"
Søften,Soften,3072,"56.23801, 10.0851"
Skævinge,Skaevinge,2613,"55.90785, 12.15036"
Nyborg,Nyborg,17525,"55.31274, 10.78964"
Nordborg,Nordborg,5709,"55.05732, 9.7408"
Middelfart,Middelfart,16277,"55.50591, 9.73054"
Korsør,Korsor,14463,"55.32993, 11.13857"
Jyderup,Jyderup,4325,"55.83689, 11.55333"
Hundested,Hundested,8543,"55.96397, 11.85044"
Hammerum,Hammerum,3025,"56.13361, 9.06121"
Hals,Hals,2388,"56.99609, 10.30807"
Borup,Borup,4728,"55.49472, 11.97584"
Raasiku,Raasiku,5161,"59.36639, 25.18306"
Kuressaare,Kuressaare,12698,"58.25382, 22.49217"
Kõrveküla,Korvekuela,571,"58.42417, 26.78222"
Kohtla-Nõmme,Kohtla-Nomme,1075,"59.35167, 27.175"
Järvakandi,Jaervakandi,1471,"58.77889, 24.82583"
Villanueva del Río y Minas,Villanueva del Rio y Minas,5213,"37.65502, -5.71369"
Villanueva de la Jara,Villanueva de la Jara,2166,"39.43333, -1.93333"
Villamayor de Santiago,Villamayor de Santiago,2766,"39.73072, -2.92357"
Valverde de Mérida,Valverde de Merida,1123,"38.91122, -6.21999"
Vall de Almonacid,Vall de Almonacid,261,"39.9, -0.45"
Vallada,Vallada,3339,"38.89575, -0.69104"
Torralba del Pinar,Torralba del Pinar,62,"39.98333, -0.43333"
Tollos,Tollos,31,"38.75629, -0.27466"
Tarifa,Tarifa,17793,"36.01393, -5.60695"
Táliga,Taliga,705,"38.52861, -7.01713"
Suflí,Sufli,228,"37.33866, -2.38817"
Santomera,Santomera,15319,"38.06147, -1.04877"
San Nicolás del Puerto,San Nicolas del Puerto,0,"38.0, -5.65"
Sant Joan d'Alacant,Sant Joan d'Alacant,21939,"38.40148, -0.43623"
Sant Joan,Sant Joan,0,"39.59621, 3.0392"
San Fernando,San Fernando,96366,"36.4759, -6.19817"
Prado del Rey,Prado del Rey,5851,"36.78756, -5.55589"
Potríes,Potries,909,"38.91617, -0.19594"
